article,is_tk,is_han,name_id,is_engi
孫堅,TRUE,TRUE,孫堅,FALSE
孫策,TRUE,TRUE,孫策,FALSE
少帝弁,TRUE,FALSE,少帝弁,FALSE
張角,TRUE,TRUE,張角,FALSE
張飛,TRUE,FALSE,張飛,FALSE
徐庶,TRUE,FALSE,徐庶,FALSE
於夫羅,TRUE,TRUE,於夫羅,FALSE
曹仁,TRUE,FALSE,曹仁,FALSE
曹植,TRUE,FALSE,曹植,FALSE
曹爽,TRUE,FALSE,曹爽,FALSE
法正,TRUE,FALSE,法正,FALSE
献帝_(漢),TRUE,FALSE,献帝,FALSE
程イク,TRUE,FALSE,程昱,FALSE
董卓,TRUE,TRUE,董卓,FALSE
袁燿,TRUE,FALSE,袁燿,FALSE
袁紹,TRUE,TRUE,袁紹,FALSE
袁術,TRUE,TRUE,袁術,FALSE
諸葛セイ,TRUE,FALSE,諸葛靚,FALSE
諸葛恪,TRUE,FALSE,諸葛恪,FALSE
諸葛瑾,TRUE,FALSE,諸葛瑾,FALSE
諸葛誕,TRUE,FALSE,諸葛誕,FALSE
趙雲,TRUE,FALSE,趙雲,FALSE
郭嘉,TRUE,FALSE,郭嘉,FALSE
関平,TRUE,FALSE,関平,FALSE
関羽,TRUE,FALSE,関羽,FALSE
阮籍,TRUE,FALSE,阮籍,FALSE
陳宮,TRUE,FALSE,陳宮,FALSE
陳寿,TRUE,FALSE,陳寿,FALSE
陸遜,TRUE,FALSE,陸遜,FALSE
馬良,TRUE,FALSE,馬良,FALSE
馬謖,TRUE,FALSE,馬謖,FALSE
魯粛,TRUE,FALSE,魯粛,FALSE
ケイ康,TRUE,FALSE,嵆康,FALSE
丁原,TRUE,TRUE,丁原,FALSE
丁奉,TRUE,FALSE,丁奉,FALSE
何進,TRUE,TRUE,何進,FALSE
公孫度,TRUE,TRUE,公孫度,FALSE
劉表,TRUE,TRUE,劉表,FALSE
司馬朗,TRUE,FALSE,司馬朗,FALSE
呂蒙,TRUE,FALSE,呂蒙,FALSE
周泰,TRUE,FALSE,周泰,FALSE
夏侯惇,TRUE,FALSE,夏侯惇,FALSE
孔融,TRUE,TRUE,孔融,FALSE
孫登,TRUE,FALSE,孫登,FALSE
孫紹,TRUE,FALSE,孫紹,FALSE
張コウ,TRUE,FALSE,張郃,FALSE
文醜,TRUE,FALSE,文醜,FALSE
曹休,TRUE,FALSE,曹休,FALSE
曹宇,TRUE,FALSE,曹宇,FALSE
曹真,TRUE,FALSE,曹真,FALSE
